Name:;Daten Ger. INSTR 04.09.2020 14:18:43
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:18:43
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
65;04.09.2020 14:19:47;1,310721;0;242,31017;0;5,9672485;0;24,124563;0;188,58278;0;234,4522;0;239,97495;0;228,55724;0;200,21734;0;0;0
66;04.09.2020 14:19:48;1,1751485;0;231,8259;0;5,9785563;0;24,123625;0;188,2513;0;234,9943;0;240,57089;0;229,15228;0;200,88341;0;0;0
67;04.09.2020 14:19:49;1,1720569;0;261,82709;0;5,9688744;0;24,12498;0;191,75233;0;235,52502;0;241,20449;0;229,60379;0;201,21645;0;0;0
68;04.09.2020 14:19:50;1,3114393;0;216,12313;0;5,9641324;0;24,135506;0;191,95134;0;236,06712;0;241,77361;0;230,23984;0;201,7399;0;0;0
69;04.09.2020 14:19:51;1,5144495;0;199,61933;0;5,9641949;0;24,123416;0;194,24592;0;236,57079;0;242,39106;0;230,97861;0;202,26334;0;0;0
70;04.09.2020 14:19:52;1,6333358;0;240,01214;0;5,9605577;0;24,126335;0;191,63296;0;237,07164;0;242,98169;0;231,3686;0;202,76279;0;0;0
71;04.09.2020 14:19:53;1,7497913;0;241,33317;0;5,9595051;0;24,134568;0;192,65415;0;237,57248;0;243,48101;0;231,86092;0;203,23869;0;0;0
72;04.09.2020 14:19:54;1,9456034;0;228,38129;0;5,962121;0;24,125709;0;192,72044;0;238,05055;0;244,00179;0;232,45616;0;203,71436;0;0;0
73;04.09.2020 14:19:55;2,0760231;0;221,41479;0;5,9689473;0;24,125292;0;192,40219;0;238,52293;0;244,42599;0;232,82545;0;203,97608;0;0;0
74;04.09.2020 14:19:56;2,119363;0;210,88363;0;5,9593487;0;24,123625;0;195,05484;0;238,8701;0;244,89307;0;233,4617;0;204,40444;0;0;0
75;04.09.2020 14:19:57;2,0444409;0;237,78839;0;5,9606932;0;24,124459;0;193,26418;0;239,24573;0;245,328;0;233,99522;0;204,71371;0;0;0
76;04.09.2020 14:19:58;1,9018992;0;238,92634;0;5,9594425;0;24,125292;0;195,61182;0;239,44207;0;245,79513;0;234,344;0;205,33224;0;0;0
77;04.09.2020 14:19:59;1,8547654;0;235,79014;0;5,9595259;0;24,124146;0;196,81866;0;239,73233;0;246,24075;0;234,89803;0;205,61774;0;0;0
78;04.09.2020 14:20:00;1,7998764;0;224,37165;0;5,959578;0;24,136131;0;195,71794;0;240,42383;0;246,67563;0;235,24682;0;205,78414;0;0;0
79;04.09.2020 14:20:01;1,8588615;0;242,51014;0;5,9595259;0;24,126022;0;196,46058;0;240,78097;0;247,13739;0;235,67782;0;206,33136;0;0;0
80;04.09.2020 14:20:02;1,9598435;0;248,84145;0;5,9695726;0;24,135506;0;198,26422;0;241,09969;0;247,56155;0;236,19084;0;206,42645;0;0;0
81;04.09.2020 14:20:03;1,8727008;0;207,20377;0;5,9642991;0;24,124042;0;197,64095;0;241,46393;0;248,00185;0;236,58063;0;207,06875;0;0;0
82;04.09.2020 14:20:04;1,7659467;0;201,64798;0;5,9642366;0;24,123937;0;196,68606;0;241,78122;0;248,35621;0;237,05264;0;207,06875;0;0;0
83;04.09.2020 14:20:05;1,5752094;0;225,48746;0;5,9690098;0;24,136235;0;200,79725;0;242,06721;0;248,73739;0;237,46314;0;207,66352;0;0;0
84;04.09.2020 14:20:06;1,4459241;0;249,40385;0;5,9749607;0;24,133109;0;200,09433;0;242,35605;0;249,19915;0;237,62718;0;207,92524;0;0;0
85;04.09.2020 14:20:07;1,364184;0;259,78157;0;5,9788585;0;24,135714;0;200,10756;0;242,58512;0;249,53741;0;238,03767;0;208,32982;0;0;0
86;04.09.2020 14:20:08;1,245891;0;131,71503;0;5,9941996;0;24,127481;0;199,55059;0;242,84977;0;249,9025;0;238,28393;0;208,59132;0;0;0
87;04.09.2020 14:20:09;1,1534604;0;87,646446;0;5,9894785;0;24,129357;0;200,06786;0;243,07031;0;250,1495;0;238,71493;0;208,85304;0;0;0
