Name:;Daten Ger. INSTR 04.09.2020 11:46:25
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:46:25
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
74;04.09.2020 11:47:38;29,177;0;109,77214;0;111,74206;0;1109,9793;0;1989,8517;0;1770,4381;0;-8,8032E-05;0
75;04.09.2020 11:47:39;29,404;0;109,85763;0;111,82836;0;1110,8294;0;1993,1764;0;1755,5207;0;-7,9643E-05;0
76;04.09.2020 11:47:40;29,625;0;109,94249;0;111,91358;0;1111,6711;0;1996,4795;0;1740,7951;0;-6,9767E-05;0
77;04.09.2020 11:47:41;29,843;0;110,02682;0;111,99775;0;1112,5063;0;1999,772;0;1726,272;0;-6,1484E-05;0
78;04.09.2020 11:47:42;30,058;0;110,11062;0;112,07978;0;1113,3277;0;2003,0538;0;1712,0046;0;-5,3626E-05;0
79;04.09.2020 11:47:43;30,271;0;110,19399;0;112,16394;0;1114,1427;0;2006,2824;0;1697,929;0;-4,5025E-05;0
80;04.09.2020 11:47:44;30,479;0;110,27704;0;112,24491;0;1114,947;0;2009,5322;0;1684,0559;0;-3,5574E-05;0
81;04.09.2020 11:47:45;30,685;0;110,35956;0;112,32694;0;1115,7396;0;2012,7608;0;1670,4383;0;-2,7716E-05;0
82;04.09.2020 11:47:46;30,889;0;110,4408;0;112,40364;0;1116,5248;0;2015,968;0;1657,034;0;-1,9114E-05;0
83;04.09.2020 11:47:47;31,087;0;110,52193;0;112,48141;0;1117,3025;0;2019,1433;0;1643,8108;0;-1,115E-05;0
84;04.09.2020 11:47:48;31,287;0;110,60286;0;112,55918;0;1118,0674;0;2022,2866;0;1630,8647;0;-1,487E-06;0
85;04.09.2020 11:47:49;31,483;0;110,68325;0;112,63376;0;1118,8227;0;2025,4086;0;1618,0997;0;6,265E-06;0
86;04.09.2020 11:47:50;31,673;0;110,76205;0;112,70833;0;1119,5727;0;2028,5199;0;1605,5478;0;1,4442E-05;0
87;04.09.2020 11:47:51;31,862;0;110,84085;0;112,78077;0;1120,3068;0;2031,6099;0;1593,209;0;2,3043E-05;0
